agent_id,p,age,ema,test_acc,p_group
0,0.0,200,0.9724103974671041,0.978,low_p
1,0.09090909090909091,200,0.9999947341184678,1.0,low_p
2,0.18181818181818182,200,0.9999136282193348,1.0,low_p
3,0.2727272727272727,0,0.5,0.949,low_p
4,0.36363636363636365,0,0.5,0.5,mid_p
5,0.4545454545454546,0,0.5,0.123,mid_p
6,0.5454545454545454,0,0.5,0.485,mid_p
7,0.6363636363636364,0,0.5,0.5,mid_p
8,0.7272727272727273,0,0.5,0.5,high_p
9,0.8181818181818182,0,0.5,0.956,high_p
10,0.9090909090909092,0,0.5,0.005,high_p
11,1.0,0,0.5,0.192,high_p
14,0.8646569382392689,0,0.0,0.0,high_p
15,0.6459745152964118,0,0.0,0.5,mid_p
16,0.37196380897571907,0,0.0,0.0,mid_p
17,0.6063502416164588,0,0.0,0.0,mid_p
18,0.42886570343268976,0,0.0,0.0,mid_p
19,0.18966383463791242,0,0.0,0.031,low_p
20,0.4283174955694201,0,0.0,0.5,mid_p
21,0.67476121922156,0,0.0,0.0,high_p
22,0.6597304228867775,0,0.0,0.981,mid_p
23,0.7549704650565596,0,0.0,0.388,high_p
24,0.18988619047368488,0,0.0,0.986,low_p
25,0.7401318147859027,0,0.0,0.0,high_p
26,0.06393931633966571,0,0.0,0.983,low_p
27,0.592994268592567,0,0.0,0.5,mid_p
