problem,algo,run,seed,f_best,success_at_1e-6,x_best,time_elapsed
Griewank10,GA,0,1071352462,0.011104585207300177,0,"-3.166893,-0.003616,5.441522,-0.011357,0.01437,0.044971,-0.00436,-0.094,0.021122,-0.041217",1.5054214000701904
Griewank10,GA,1,508382830,0.08474365761973746,0,"3.149089,-8.86804,-0.028465,-12.561651,0.044046,-0.037732,0.081847,-0.007215,-9.375071,-0.008798",1.6620795726776123
Griewank10,GA,2,118020186,0.08577955203937526,0,"-6.256401,-0.03358,0.03893,6.335299,0.065995,0.017941,8.215837,-0.02887,-9.372066,-9.867337",1.400162935256958
Griewank10,GA,3,1889096913,0.06052504866311115,0,"-3.127749,4.438747,-5.426083,-0.039495,6.959609,-7.683776,-8.230471,0.058784,-0.097161,-0.007418",2.3614561557769775
Griewank10,GA,4,603085366,0.0839928816177068,0,"-0.037845,-4.455657,5.406207,-6.260895,-7.070088,0.076087,-0.063227,0.037009,-9.4193,9.774929",2.4961297512054443
Griewank10,GA,5,148836471,0.06576982727968217,0,"6.271257,-4.381694,-0.054129,-6.24427,-0.030144,7.693383,-0.035146,0.040393,-0.028193,9.859993",1.539031744003296
Griewank10,GA,6,408748556,0.10761167261006455,0,"-3.14666,8.859061,-5.405631,0.053234,6.935402,-0.068313,-8.263378,-8.652457,-0.015229,9.803983",1.5778727531433105
Griewank10,GA,7,1297502930,0.08807313122765414,0,"0.031298,-4.41663,5.445065,-0.019963,-6.99156,-7.646681,-0.047995,-0.106041,-9.30935,9.929469",1.5576372146606445
Griewank10,GA,8,126170428,0.04098725262533853,0,"-0.05086,0.115735,0.000169,0.016077,-0.02389,7.713699,0.038624,-8.846438,-0.092571,-0.149167",2.405019521713257
Griewank10,GA,9,1067813813,0.11876116672199621,0,"-9.433378,8.873503,-10.839738,-6.241537,-0.028824,-7.656164,0.004392,-0.002245,-9.399204,-0.050006",2.028092861175537
Griewank10,GA,10,1906203814,0.09884535894068669,0,"0.008223,-4.466639,-0.013341,-0.03853,-6.938649,7.615897,-8.290466,0.159701,-9.421155,-9.838219",2.045056104660034
Griewank10,GA,11,500476172,0.13674140120871348,0,"0.008157,-4.446356,5.495209,-12.532911,0.047473,-0.03691,8.310026,-8.894835,-9.322696,9.846084",1.7128336429595947
Griewank10,GA,12,887570726,0.042932326597694304,0,"-3.126307,-0.031094,0.033583,6.267492,7.01754,0.04358,-8.220734,0.008882,0.046586,-0.005664",1.6715240478515625
Griewank10,GA,13,1671398646,0.12419451982816698,0,"9.430185,4.442869,16.335425,-0.092424,0.302022,-0.012354,-0.037353,-8.89065,-0.06204,-0.008524",1.1614983081817627
Griewank10,GA,14,683479305,0.010063470836421673,0,"-3.14113,-4.492691,-0.013911,0.015478,0.025388,-0.06925,0.025314,0.017542,-0.140343,0.069239",1.378429651260376
Griewank10,GA,15,252272671,0.11996834093149067,0,"3.150623,8.910521,-0.019595,0.047838,6.999271,0.056466,8.310564,8.922845,9.486035,-9.879463",1.5145912170410156
Griewank10,GA,16,991186288,0.07122540119522192,0,"6.256215,0.023827,-0.031263,6.293196,7.080058,-7.620393,0.077999,0.005526,-9.410749,-0.094488",2.9518935680389404
Griewank10,GA,17,1569037562,0.06732445429429679,0,"-6.286928,-0.05439,-5.34946,6.235022,6.907664,0.003119,0.001391,0.011042,0.02401,-9.816155",1.7231218814849854
Griewank10,GA,18,1067278572,0.05206707609673822,0,"3.139016,-0.035344,0.000712,6.270096,0.011187,0.010029,8.31836,0.007599,-9.390783,-0.003347",1.4860951900482178
Griewank10,GA,19,1493366130,0.06745068333232751,0,"-3.141193,4.381289,0.009927,-6.283743,-7.006356,7.680535,-0.030994,-0.004634,9.416533,0.026402",1.6205978393554688
Griewank10,GA,20,238192036,0.06375798610784944,0,"3.167837,4.486227,5.457525,6.311973,6.996942,-0.019517,-0.078394,0.069666,-0.008534,9.821488",1.3602352142333984
Griewank10,GA,21,306816991,0.05988606950564501,0,"-6.283487,0.011102,-5.443207,-6.296818,-0.015653,-7.633208,8.304422,-0.063961,-0.041715,-0.050985",2.1153950691223145
Griewank10,GA,22,468186849,0.06428792645828951,0,"-3.138515,-4.434852,-10.865064,0.001925,7.004625,7.646156,0.028553,0.04616,-0.006144,-0.008894",1.9162211418151855
Griewank10,GA,23,1041698187,0.13413871887166018,0,"6.257581,4.410608,-5.461766,12.54279,-7.052692,-0.050112,-8.255715,-8.866312,9.323979,-0.014243",2.2876393795013428
Griewank10,GA,24,1833524198,0.10054887716479421,0,"3.138183,0.041153,-0.003566,0.113476,6.997397,0.006844,8.271625,8.869385,9.43078,9.910342",1.4335315227508545
Griewank10,GA,25,888746390,0.03844838528753369,0,"-0.0143,0.009293,0.041925,-0.185277,0.037871,7.706431,8.355874,-0.026786,-0.138888,0.023399",1.3447530269622803
Griewank10,GA,26,406441929,0.06758755154054386,0,"-0.008643,0.014629,-0.006362,0.048278,6.992365,-7.643573,8.256582,0.04922,-9.474235,0.032086",1.5256597995758057
Griewank10,GA,27,214927037,0.11485238255868002,0,"-6.283864,0.016952,-5.444723,-12.552201,0.036755,-7.646636,8.279981,0.001307,0.031823,9.723548",1.5421473979949951
Griewank10,GA,28,170855035,0.07299240347310831,0,"-3.129787,4.42641,0.055471,-6.27851,0.03082,7.642869,-8.247409,0.094144,9.341792,-0.05527",1.4401702880859375
Griewank10,GA,29,1045193712,0.04167775981775779,0,"3.133797,-4.444832,0.009664,0.106994,-0.041938,7.727167,-8.240373,-0.015556,0.032165,-0.063489",1.5518989562988281
Griewank10,GA,30,1102861983,0.10494979008082628,0,"-3.142636,-0.017941,0.040872,-0.029507,0.025369,-7.631115,-8.299279,-8.944018,9.215592,9.718072",2.597356081008911
