problem,algo,run,seed,f_best,success_at_1e-6,x_best,time_elapsed
Himmelblau2,DE,0,38401263,0.0,1,"3.0,2.0",0.30199146270751953
Himmelblau2,DE,1,1091351423,0.0,1,"3.0,2.0",0.30256056785583496
Himmelblau2,DE,2,1230677504,0.0,1,"3.0,2.0",0.2919919490814209
Himmelblau2,DE,3,704997761,0.0,1,"3.0,2.0",0.46809816360473633
Himmelblau2,DE,4,418312279,0.0,1,"3.584428,-1.848127",0.4233248233795166
Himmelblau2,DE,5,1498278488,0.0,1,"3.0,2.0",0.4035146236419678
Himmelblau2,DE,6,1384411091,0.0,1,"3.0,2.0",0.32967352867126465
Himmelblau2,DE,7,200863974,0.0,1,"3.0,2.0",0.3301258087158203
Himmelblau2,DE,8,1422772294,0.0,1,"3.0,2.0",0.29970884323120117
Himmelblau2,DE,9,1444139417,0.0,1,"3.0,2.0",0.3243987560272217
Himmelblau2,DE,10,1345489551,0.0,1,"3.0,2.0",0.30126357078552246
Himmelblau2,DE,11,1943258649,0.0,1,"3.0,2.0",0.30058813095092773
Himmelblau2,DE,12,1464902653,0.0,1,"3.0,2.0",0.31037378311157227
Himmelblau2,DE,13,1591049187,0.0,1,"3.0,2.0",0.31624770164489746
Himmelblau2,DE,14,412759915,0.0,1,"3.0,2.0",0.3305666446685791
Himmelblau2,DE,15,757089828,0.0,1,"3.0,2.0",0.31125426292419434
Himmelblau2,DE,16,243648076,0.0,1,"3.584428,-1.848127",0.3123452663421631
Himmelblau2,DE,17,188420242,0.0,1,"3.0,2.0",0.34803175926208496
Himmelblau2,DE,18,1747235352,2.524354896707238e-29,1,"3.584428,-1.848127",0.3254241943359375
Himmelblau2,DE,19,178541868,0.0,1,"3.0,2.0",0.34720444679260254
Himmelblau2,DE,20,898252480,0.0,1,"3.0,2.0",0.6553947925567627
Himmelblau2,DE,21,1161922158,0.0,1,"3.0,2.0",0.4286186695098877
Himmelblau2,DE,22,1761186221,0.0,1,"3.584428,-1.848127",0.49419450759887695
Himmelblau2,DE,23,947535145,0.0,1,"3.0,2.0",0.37906742095947266
Himmelblau2,DE,24,1140985101,0.0,1,"3.0,2.0",0.3148164749145508
Himmelblau2,DE,25,1579086652,0.0,1,"3.0,2.0",0.3655686378479004
Himmelblau2,DE,26,926746621,0.0,1,"3.0,2.0",0.3903367519378662
Himmelblau2,DE,27,314902575,0.0,1,"3.0,2.0",0.4508240222930908
Himmelblau2,DE,28,2140308449,0.0,1,"3.0,2.0",0.5614345073699951
Himmelblau2,DE,29,858342533,0.0,1,"3.0,2.0",0.38924169540405273
Himmelblau2,DE,30,555116118,0.0,1,"3.0,2.0",0.3551473617553711
