problem,algo,run,seed,f_best,success_at_1e-6,x_best,time_elapsed
Himmelblau2,GA,0,1825827608,2.8651754211156743e-08,1,"2.99997,2.000024",0.35257887840270996
Himmelblau2,GA,1,705556435,6.295806255783631e-07,1,"2.999885,2.00018",0.30726194381713867
Himmelblau2,GA,2,1611753788,2.784079737821082e-08,1,"-3.779293,-3.283197",0.4074134826660156
Himmelblau2,GA,3,775232173,9.200253709391951e-08,1,"2.999946,2.000038",0.37516331672668457
Himmelblau2,GA,4,1959446078,6.845223516184911e-08,1,"-3.779332,-3.283224",0.29573845863342285
Himmelblau2,GA,5,862782922,8.765294737754532e-09,1,"3.000005,1.999975",0.34638047218322754
Himmelblau2,GA,6,96867066,7.868895233683781e-08,1,"2.999964,1.999974",0.2996952533721924
Himmelblau2,GA,7,1783807932,1.4519009601966755e-07,1,"3.000035,1.9999",0.3205857276916504
Himmelblau2,GA,8,1627862006,8.566117179716601e-09,1,"3.000002,2.000021",0.2813446521759033
Himmelblau2,GA,9,1652355967,1.0271212857100347e-07,1,"-2.80508,3.131349",0.3693857192993164
Himmelblau2,GA,10,638465106,5.189525800391706e-08,1,"3.000032,2.000017",0.30438923835754395
Himmelblau2,GA,11,1903173595,7.373999146894953e-08,1,"2.999953,2.000013",0.2792539596557617
Himmelblau2,GA,12,1442244518,6.186442135907261e-08,1,"2.999966,2.000059",0.42476677894592285
Himmelblau2,GA,13,1068209226,2.1219512546717669e-07,1,"3.584379,-1.848191",0.28004908561706543
Himmelblau2,GA,14,1294957807,2.062537685524337e-06,0,"-3.779166,-3.282994",0.25183916091918945
Himmelblau2,GA,15,1526960971,7.099444607165014e-08,1,"-2.805102,3.131273",0.28241586685180664
Himmelblau2,GA,16,467366897,1.0119695695942805e-07,1,"3.000057,1.999962",0.27198266983032227
Himmelblau2,GA,17,1050983040,1.0834858561616805e-07,1,"3.000038,2.000039",0.34214019775390625
Himmelblau2,GA,18,1391319349,1.3217461138310514e-07,1,"2.999994,2.000092",0.33904337882995605
Himmelblau2,GA,19,1181565294,7.816961270530987e-08,1,"3.000039,2.000019",0.24999308586120605
Himmelblau2,GA,20,110641965,4.520350927911406e-07,1,"3.000111,1.999997",0.17684197425842285
Himmelblau2,GA,21,2021567620,5.821106207672243e-07,1,"3.584522,-1.848244",0.17928338050842285
Himmelblau2,GA,22,945037754,1.4354188535050492e-07,1,"-3.779262,-3.283149",0.30022096633911133
Himmelblau2,GA,23,1278878287,3.239424073112775e-07,1,"3.000022,1.999852",0.4766042232513428
Himmelblau2,GA,24,1679365145,1.0568229590107085e-08,1,"2.999993,2.000027",0.43149518966674805
Himmelblau2,GA,25,950601236,1.2346787219664212e-08,1,"2.999994,2.000029",0.3709425926208496
Himmelblau2,GA,26,1994425017,1.155342869230704e-06,0,"3.000184,1.999969",0.4184226989746094
Himmelblau2,GA,27,467091850,3.8091204383819224e-07,1,"3.000051,1.999837",0.3746507167816162
Himmelblau2,GA,28,394051965,2.5351616948252855e-07,1,"3.000013,2.000113",0.37381744384765625
Himmelblau2,GA,29,1864677438,1.809650757074689e-07,1,"3.000055,1.999896",0.46585726737976074
Himmelblau2,GA,30,1229800424,3.017009797017424e-07,1,"-2.805033,3.131353",0.35458946228027344
