problem,algo,run,seed,f_best,success_at_1e-6,x_best,time_elapsed
Rastrigin10,GA,0,1605734165,2.5617400780220123e-05,0,"-3.3e-05,-0.000245,-3e-05,-1e-06,4.9e-05,-9.8e-05,0.00013,-0.000179,-7.7e-05,1.4e-05",2.2145333290100098
Rastrigin10,GA,1,1042707178,1.234878575928633e-05,0,"2.6e-05,8e-06,1.7e-05,-0.00014,-2.3e-05,-1e-05,2.9e-05,-0.000108,0.000169,-2e-06",1.8336036205291748
Rastrigin10,GA,2,1021003240,2.693999974212602e-05,0,"-6.3e-05,-3.1e-05,2.7e-05,8.7e-05,1.9e-05,-0.000248,-7.8e-05,-8.1e-05,0.000218,-1.3e-05",1.8750841617584229
Rastrigin10,GA,3,1975462652,1.6819546473811897e-05,0,"-6.4e-05,-6.2e-05,-0.0001,-1.7e-05,-5.2e-05,2e-06,9.3e-05,0.000209,9.9e-05,-4e-05",1.9720768928527832
Rastrigin10,GA,4,1678876917,9.491571105968433e-06,0,"-4.8e-05,-4e-06,-8e-05,-3.1e-05,0.000133,-5.2e-05,0.000107,-5.8e-05,5.1e-05,-1.6e-05",1.7813971042633057
Rastrigin10,GA,5,920993104,5.221608788019694e-05,0,"0.000104,0.000104,-0.000239,-0.000142,-0.000126,0.000123,0.000176,0.000251,7.5e-05,-0.000184",1.911799430847168
Rastrigin10,GA,6,1559367200,7.153649519864302e-05,0,"-5.9e-05,3e-05,-4e-05,8.2e-05,0.000514,0.000216,-0.000118,-6.7e-05,8.3e-05,0.000106",1.6783723831176758
Rastrigin10,GA,7,216371843,1.1209637733600175e-05,0,"4e-06,-0.000162,-9.6e-05,-4e-06,9.2e-05,7.1e-05,1.5e-05,5e-06,-7.5e-05,-4.4e-05",1.6726818084716797
Rastrigin10,GA,8,1220968225,3.0447403815969665e-05,0,"2.9e-05,0.000181,0.000169,-7e-06,3.3e-05,-0.000149,0.000122,-0.000206,-8.1e-05,-6.6e-05",1.8165183067321777
Rastrigin10,GA,9,1370660778,1.767092891213906e-05,0,"-4.5e-05,-3.8e-05,3.8e-05,4.8e-05,8.4e-05,1e-05,0.000188,-0.000193,2.4e-05,-3.7e-05",1.7093048095703125
Rastrigin10,GA,10,1804433005,2.052160236587497e-05,0,"-8.7e-05,4e-06,-3.2e-05,2.4e-05,-6e-06,0.000177,-0.000166,7.3e-05,0.00012,-0.000124",1.8079109191894531
Rastrigin10,GA,11,1410597989,7.532059210291209e-05,0,"-8.3e-05,-6.1e-05,0.000277,-0.000181,-0.000269,0.000169,0.000354,-8.8e-05,0.000142,-7.5e-05",1.8797929286956787
Rastrigin10,GA,12,1426157331,2.313507391704661e-05,0,"7e-06,-1.3e-05,2e-05,-0.000105,3.7e-05,0.000119,-7e-06,-0.000199,-0.0002,9.8e-05",1.880302906036377
Rastrigin10,GA,13,102108112,2.6265711142059445e-05,0,"3.7e-05,0.000149,-0.000176,1.9e-05,4.4e-05,7.3e-05,-8.8e-05,2.6e-05,0.000176,-0.000175",1.9934120178222656
Rastrigin10,GA,14,1239601482,3.664212708542891e-05,0,"0.000169,6e-06,-2.4e-05,-0.000243,-0.000202,-8.3e-05,0.000121,3.7e-05,2.7e-05,0.00018",1.993213415145874
Rastrigin10,GA,15,77474895,1.0782173987422539e-05,0,"-0.000117,-1.8e-05,0.000121,2e-05,9e-06,-3.2e-05,-0.00011,7.2e-05,8.3e-05,1.7e-05",1.6194379329681396
Rastrigin10,GA,16,1548305511,5.9382783476280565e-05,0,"0.00017,0.000246,0.00016,0.000148,3.3e-05,-0.000203,0.000207,-0.000148,-5.6e-05,-0.00023",1.6366727352142334
Rastrigin10,GA,17,38833611,2.123033948464581e-05,0,"0.000127,-0.000119,-0.000115,-0.00012,-1.5e-05,3e-06,9.5e-05,0.000158,0.000113,4.7e-05",1.642202615737915
Rastrigin10,GA,18,583246043,3.169048405027297e-05,0,"-2.9e-05,7.7e-05,-3.4e-05,0.000142,0.000211,-0.000201,-0.000122,2.5e-05,0.000173,3.3e-05",1.898284912109375
Rastrigin10,GA,19,765770581,4.264489035676888e-06,0,"-4.5e-05,2.2e-05,3.2e-05,-8e-06,-6.1e-05,-2.2e-05,-9.9e-05,4.2e-05,-4.6e-05,-7e-06",1.8009629249572754
Rastrigin10,GA,20,1933104298,2.1683516408188552e-05,0,"-0.000231,2.7e-05,8.8e-05,0.000122,0.000132,-4.4e-05,1.3e-05,3.9e-05,6.7e-05,-8.6e-05",1.9720549583435059
Rastrigin10,GA,21,977316406,6.882690612997067e-05,0,"-7.3e-05,0.00022,0.000102,0.000338,1.4e-05,-0.000162,-0.000269,-0.000174,0.000192,4.5e-05",2.074212074279785
Rastrigin10,GA,22,1308126024,2.1670222622560686e-05,0,"4e-06,-3.1e-05,7e-05,0.000204,0.00019,0.000107,-2e-05,3.3e-05,0.000107,-3.5e-05",1.6560430526733398
Rastrigin10,GA,23,623574778,1.6656166280881735e-05,0,"3e-06,-1.6e-05,-2.3e-05,-2.2e-05,2.6e-05,4.5e-05,-0.000184,-0.000163,-4.5e-05,-0.000132",2.0928761959075928
