problem,algo,run,seed,f_best,success_at_1e-6,x_best,time_elapsed
Rastrigin10,PSO,0,543282534,1.616484723854228e-10,1,"0.0,-0.0,-0.0,0.0,-1e-06,-0.0,-0.0,0.0,0.0,0.0",1.73683762550354
Rastrigin10,PSO,1,1842554831,1.9899181141866364,0,"0.0,0.0,-0.0,-0.994959,0.0,-0.994959,0.0,0.0,-0.0,-0.0",1.5850558280944824
Rastrigin10,PSO,2,1090831415,2.984877171294329,0,"0.0,0.0,-0.0,0.994959,0.0,-0.994959,-0.994959,-0.0,0.0,0.0",1.5938758850097656
Rastrigin10,PSO,3,2120080097,5.969754342559753,0,"-0.0,0.0,0.994959,-0.994959,-0.994959,0.0,0.994959,0.994959,0.0,0.994959",1.7778971195220947
Rastrigin10,PSO,4,437849106,2.9848771712798623,0,"-0.0,-0.994959,-0.994959,0.0,-0.0,-0.0,0.994959,-0.0,-0.0,-0.0",1.6259863376617432
Rastrigin10,PSO,5,266978477,1.9899181141865796,0,"0.0,-0.0,-0.0,-0.994959,0.0,-0.994959,-0.0,0.0,-0.0,-0.0",1.4861371517181396
Rastrigin10,PSO,6,935674808,2.9848771712799618,0,"0.0,-0.0,-0.0,0.994959,0.0,-0.994959,-0.0,0.0,-0.0,0.994959",1.5362088680267334
Rastrigin10,PSO,7,1111007886,2.9848771712798765,0,"0.0,-0.994959,-0.0,-0.994959,-0.0,0.0,0.994959,0.0,-0.0,0.0",1.5582857131958008
Rastrigin10,PSO,8,444545672,2.9848772820101175,0,"0.0,0.0,-0.0,0.0,0.994935,0.994958,-0.994959,-0.0,-0.0,0.0",1.899280071258545
Rastrigin10,PSO,9,2140185083,1.9899181141876738,0,"0.0,-0.0,0.0,0.994959,-0.0,0.994959,0.0,-0.0,0.0,-0.0",1.6263680458068848
Rastrigin10,PSO,10,127027404,1.9899181142083933,0,"0.0,-0.0,0.0,-0.994959,0.0,0.994959,0.0,0.0,-0.0,0.0",1.5621531009674072
Rastrigin10,PSO,11,165855192,2.9848771712798907,0,"0.994959,-0.0,-0.0,-0.0,-0.0,0.0,0.994959,0.0,-0.994959,0.0",1.567000389099121
Rastrigin10,PSO,12,1343990837,4.974795285466968,0,"-0.994959,0.994959,0.0,0.994959,-0.994959,-0.0,0.994959,0.0,0.0,-0.0",1.461768627166748
Rastrigin10,PSO,13,1205946953,3.979836228374623,0,"0.994959,0.994959,0.0,0.0,0.994959,0.994959,-0.0,-0.0,-0.0,-0.0",1.4659621715545654
Rastrigin10,PSO,14,207634518,2.9848771712798907,0,"0.0,-0.0,-0.0,-0.994959,-0.0,-0.0,-0.994959,0.0,-0.0,-0.994959",1.5019745826721191
Rastrigin10,PSO,15,148014605,2.9848771712798907,0,"-0.0,0.0,-0.994959,-0.0,-0.0,-0.0,-0.994959,-0.0,-0.994959,0.0",1.5078206062316895
Rastrigin10,PSO,16,919835396,4.974795285466456,0,"-0.0,0.994959,-0.994959,-0.0,-0.994959,-0.0,0.994959,-0.994959,-0.0,0.0",1.8713388442993164
Rastrigin10,PSO,17,962934531,1.9899181141865938,0,"0.0,0.0,-0.0,-0.0,0.994959,0.0,-0.0,-0.994959,-0.0,0.0",1.6989316940307617
Rastrigin10,PSO,18,1478204434,3.9798362283731876,0,"0.0,-0.994959,0.0,0.994959,0.0,0.0,0.994959,0.0,-0.994959,0.0",1.743241548538208
Rastrigin10,PSO,19,1008053150,5.969754342561799,0,"-0.994959,-0.994959,-0.0,-0.0,-0.994959,-0.994959,0.994959,0.0,-0.0,-0.994959",1.7861475944519043
Rastrigin10,PSO,20,1129699554,3.9798362283733013,0,"-0.994959,0.0,0.994959,-0.0,-0.994959,0.994959,-0.0,-0.0,-0.0,0.0",1.5461599826812744
Rastrigin10,PSO,21,1092367375,3.979836228373159,0,"0.0,0.0,-0.0,-0.994959,0.994959,0.0,-0.0,0.994959,0.994959,-0.0",1.7844362258911133
Rastrigin10,PSO,22,2140643834,0.9949973945607979,0,"2e-06,2.2e-05,-3.6e-05,-8.9e-05,-1.1e-05,2e-05,-0.995316,-2.7e-05,-1.5e-05,0.000232",1.4818310737609863
Rastrigin10,PSO,23,903058995,2.9848771712798623,0,"0.0,0.0,0.994959,0.994959,-0.0,-0.0,0.994959,-0.0,-0.0,0.0",1.4806780815124512
Rastrigin10,PSO,24,642372826,4.97479528546657,0,"-0.0,-0.994959,0.994959,0.0,0.0,0.994959,0.0,0.994959,0.994959,0.0",1.5410118103027344
Rastrigin10,PSO,25,1267988144,2.9848771712798907,0,"0.0,-0.0,0.0,0.994959,-0.0,-0.0,0.0,0.994959,-0.0,0.994959",1.6144635677337646
Rastrigin10,PSO,26,1043795133,3.979838771097292,0,"0.0,-1.3e-05,0.0,0.994959,-0.994959,0.994847,0.994959,-0.0,5e-06,9e-06",1.8307361602783203
Rastrigin10,PSO,27,46277353,2.9848771712800186,0,"-0.994959,-0.994959,0.0,-0.994959,-0.0,-0.0,0.0,-0.0,-0.0,-0.0",1.9119415283203125
Rastrigin10,PSO,28,106528247,1.9899181141865938,0,"0.994959,-0.994959,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0",2.083009958267212
Rastrigin10,PSO,29,2090945733,2.9848839629677144,0,"9e-06,-1.3e-05,-0.99493,-0.995138,-1.2e-05,1.3e-05,-2.5e-05,0.994962,2e-06,2e-06",1.8783166408538818
Rastrigin10,PSO,30,677115304,1.9899181141865938,0,"-0.0,-0.0,-0.994959,0.0,-0.0,0.0,0.0,0.0,0.0,-0.994959",1.6182513236999512
