problem,algo,run,seed,f_best,success_at_1e-6,x_best,time_elapsed
Rosenbrock10,DE,0,1384584570,4.582051811866882e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999",3.4348809719085693
Rosenbrock10,DE,1,353888191,3.888303980340652e-12,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999,0.999999,0.999998",3.3899004459381104
Rosenbrock10,DE,2,332513832,1.579674033969724e-12,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",3.3781497478485107
Rosenbrock10,DE,3,456502550,9.123028944280164e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",3.4147913455963135
Rosenbrock10,DE,4,1810045650,3.2241820350894835e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",3.3627357482910156
Rosenbrock10,DE,5,90071838,5.753587519092531e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",3.4358952045440674
Rosenbrock10,DE,6,772252195,7.628131843993668e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",3.374016761779785
Rosenbrock10,DE,7,512879906,1.4625508403155204e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",3.4145078659057617
Rosenbrock10,DE,8,555201801,2.4100567284248883e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",3.584780693054199
Rosenbrock10,DE,9,2113160747,8.272352535276493e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",3.4423987865448
Rosenbrock10,DE,10,2094806549,1.0465476475112216e-12,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999",3.320126533508301
Rosenbrock10,DE,11,1595637027,8.834919692413175e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999,0.999999",3.4282116889953613
Rosenbrock10,DE,12,1203610742,2.0321792480712534e-12,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",3.790437698364258
Rosenbrock10,DE,13,270031531,5.741833685086681e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",3.8016178607940674
Rosenbrock10,DE,14,638586486,4.606202498341745e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",3.6881914138793945
Rosenbrock10,DE,15,1008919401,1.6939684830063107e-12,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",4.972150564193726
Rosenbrock10,DE,16,1149424752,1.140714952224182e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",4.145796298980713
Rosenbrock10,DE,17,1467215584,4.108547579275184e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",4.459146499633789
Rosenbrock10,DE,18,675088744,4.464011516437484e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",4.076480865478516
Rosenbrock10,DE,19,1351253625,2.912105494876102e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",3.817988395690918
Rosenbrock10,DE,20,1766132653,6.055316808189823e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000001",5.528832197189331
Rosenbrock10,DE,21,484752796,6.084574496296242e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",4.502035617828369
Rosenbrock10,DE,22,1005516696,9.071411948564477e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",3.7410407066345215
Rosenbrock10,DE,23,1338450400,1.4777002252288849e-12,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000001,1.000001",4.325394630432129
Rosenbrock10,DE,24,17739583,5.181349794431522e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",4.225524425506592
Rosenbrock10,DE,25,132791785,1.397289089201624e-12,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",4.586471080780029
Rosenbrock10,DE,26,220964798,1.6809006397117334e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",3.7574679851531982
Rosenbrock10,DE,27,578254350,7.911308026788294e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",3.958282947540283
Rosenbrock10,DE,28,242178587,7.851693559706723e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",4.1591246128082275
Rosenbrock10,DE,29,1209571365,9.400904317670157e-13,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",3.866288423538208
Rosenbrock10,DE,30,1863586038,2.006401446112658e-12,1,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999",3.8813023567199707
