problem,algo,run,seed,f_best,success_at_1e-6,x_best,time_elapsed
Rosenbrock10,PSO,0,1612774284,0.4784671386601047,0,"0.995673,0.991121,0.985169,0.97235,0.947055,0.899875,0.812335,0.666696,0.445421,0.192884",4.284792184829712
Rosenbrock10,PSO,1,541956500,0.4342849176001,0,"0.995048,0.990156,0.985592,0.975588,0.952721,0.908021,0.826555,0.683893,0.466724,0.212212",2.578916311264038
Rosenbrock10,PSO,2,1415381858,0.4316365944610903,0,"0.995067,0.992589,0.986393,0.974952,0.951008,0.904803,0.823433,0.685382,0.474829,0.221078",2.771737813949585
Rosenbrock10,PSO,3,40632133,0.43061868655603475,0,"0.996897,0.991356,0.981843,0.969864,0.948444,0.904732,0.828562,0.694589,0.486154,0.235772",5.568900108337402
Rosenbrock10,PSO,4,576700389,0.002151908971748822,0,"1.000132,1.000306,1.000606,1.001209,1.002471,1.004971,1.009989,1.019932,1.040203,1.08219",4.125690937042236
Rosenbrock10,PSO,5,1761089552,0.2637717739762351,0,"0.997984,0.994999,0.990073,0.980393,0.962583,0.929744,0.870189,0.759703,0.581446,0.337341",4.208729267120361
Rosenbrock10,PSO,6,826535215,0.00019330708049443418,0,"0.999963,0.999887,0.999749,0.999482,0.999022,0.998384,0.997127,0.994426,0.988947,0.978018",5.0474631786346436
Rosenbrock10,PSO,7,1999452045,0.18625044415753442,0,"0.997753,0.995658,0.992489,0.984286,0.971552,0.945282,0.893108,0.800109,0.640939,0.410857",3.6066746711730957
Rosenbrock10,PSO,8,862953171,0.2399231387457274,0,"0.996739,0.994263,0.990649,0.982551,0.966611,0.935138,0.875423,0.771292,0.597756,0.355412",4.21790075302124
Rosenbrock10,PSO,9,213732792,0.1943745825299429,0,"0.998247,0.995414,0.990968,0.984702,0.970651,0.943058,0.891869,0.794801,0.634158,0.402176",3.2613558769226074
Rosenbrock10,PSO,10,1394878537,0.441846419965708,0,"0.997278,0.989147,0.98518,0.97163,0.946898,0.9054,0.826574,0.687424,0.472256,0.222272",2.506896734237671
Rosenbrock10,PSO,11,402025586,0.5804590661903629,0,"0.993388,0.988481,0.979011,0.964746,0.933225,0.885227,0.796867,0.640942,0.415072,0.171605",4.744182348251343
Rosenbrock10,PSO,12,112149582,0.45442979324236704,0,"0.993465,0.986559,0.982018,0.971201,0.947389,0.904651,0.82364,0.682369,0.465474,0.215876",3.4606783390045166
Rosenbrock10,PSO,13,616237439,0.3362486312744067,0,"0.996187,0.992614,0.98491,0.969174,0.95578,0.922557,0.860375,0.74511,0.558258,0.310552",3.2357165813446045
Rosenbrock10,PSO,14,2059606092,0.051290391032578125,0,"0.998433,0.997739,0.995976,0.99284,0.985805,0.972004,0.947379,0.89944,0.81057,0.657082",3.3098034858703613
Rosenbrock10,PSO,15,282224356,0.5391324419311481,0,"0.994235,0.988201,0.979402,0.960068,0.940245,0.895482,0.81126,0.66128,0.440465,0.194423",2.448362350463867
Rosenbrock10,PSO,16,928059997,0.2877088329516515,0,"0.997103,0.99384,0.984517,0.975952,0.960138,0.928553,0.86807,0.758299,0.57296,0.328661",2.385634660720825
Rosenbrock10,PSO,17,26291921,0.3333707079348816,0,"0.999616,0.996758,0.986034,0.976792,0.957338,0.919089,0.85332,0.735589,0.54193,0.294265",2.4785842895507812
Rosenbrock10,PSO,18,784716351,0.3327972209440184,0,"0.996183,0.99241,0.987762,0.978127,0.959214,0.922234,0.852195,0.7255,0.526867,0.275439",3.376889228820801
Rosenbrock10,PSO,19,845151373,0.42602574642197677,0,"0.996593,0.992821,0.986691,0.976364,0.953544,0.908123,0.82365,0.685838,0.473615,0.223832",3.2946064472198486
Rosenbrock10,PSO,20,1588794117,0.40803155673103897,0,"0.994503,0.991604,0.985797,0.973264,0.950003,0.909748,0.831298,0.696803,0.48702,0.235057",2.9465889930725098
Rosenbrock10,PSO,21,2035148810,0.0017644238558073649,0,"1.000192,1.000346,1.000684,1.001192,1.002271,1.00454,1.009047,1.018004,1.036332,1.074151",3.4543509483337402
Rosenbrock10,PSO,22,494984933,0.0008977414963167391,0,"0.999808,0.999645,0.99926,0.998471,0.99812,0.996821,0.994086,0.988592,0.977444,0.955392",3.6254515647888184
Rosenbrock10,PSO,23,1672926077,0.5111271080882575,0,"0.993249,0.992243,0.983306,0.967769,0.943488,0.894212,0.808411,0.656214,0.433463,0.186153",3.8162460327148438
Rosenbrock10,PSO,24,598898947,0.4262260985611156,0,"0.995561,0.99236,0.987111,0.974657,0.953273,0.909247,0.826289,0.683284,0.469426,0.218353",3.9880433082580566
Rosenbrock10,PSO,25,542178921,0.3366095549068525,0,"0.997061,0.994397,0.988524,0.978617,0.960033,0.921529,0.849469,0.724313,0.524577,0.270688",3.565969228744507
Rosenbrock10,PSO,26,1457120468,0.5205666380216196,0,"0.996067,0.992715,0.984858,0.971779,0.944982,0.892919,0.800047,0.648028,0.424196,0.178429",3.5662975311279297
Rosenbrock10,PSO,27,432488811,0.34569488402019943,0,"0.996092,0.993649,0.987109,0.979622,0.958804,0.919613,0.845557,0.721784,0.523238,0.272616",2.9999170303344727
Rosenbrock10,PSO,28,1977682403,0.33828065103381655,0,"0.997442,0.993625,0.987632,0.977649,0.958864,0.919974,0.849369,0.722259,0.524193,0.274875",3.227031707763672
Rosenbrock10,PSO,29,1805808865,0.24901371545744577,0,"1.003015,1.006156,1.007911,1.013889,1.026201,1.047658,1.095179,1.198673,1.436841,2.065627",2.979764461517334
Rosenbrock10,PSO,30,941781933,0.5232972568420284,0,"0.993462,0.988389,0.983967,0.970098,0.944089,0.895717,0.803519,0.650319,0.422132,0.173326",3.21264386177063
